tourney_name,tourney_date,winner_id,winner_name,winner_ioc
Nice,1973-04-15,100174.0,Manuel Orantes,ESP
Toronto WCT,1973-02-11,100029.0,Rod Laver,AUS
Buenos Aires,1973-11-25,100282.0,Guillermo Vilas,ARG
London WCT,1973-01-18,100162.0,Brian Fairlie,NZL
Madrid,1973-10-21,100084.0,Tom Okker,NED
Des Moines,1973-02-04,100078.0,Clark Graebner,USA
Washington,1973-07-23,100074.0,Arthur Ashe,USA
Indianapolis,1973-08-13,100174.0,Manuel Orantes,ESP
Monte Carlo,1973-04-14,100119.0,Ilie Nastase,ROU
Chicago,1973-09-30,100084.0,Tom Okker,NED
Atlanta WCT,1973-03-19,100126.0,Stan Smith,USA
Hamburg,1973-06-11,100232.0,Eddie Dibbs,USA
Rome,1973-06-02,100119.0,Ilie Nastase,ROU
Boston,1973-07-16,100284.0,Jimmy Connors,USA
Bretton Woods,1973-07-23,100321.0,Vijay Amritraj,IND
South Orange,1973-08-20,100091.0,Colin Dibley,AUS
Madrid,1973-04-23,100119.0,Ilie Nastase,ROU
Roanoke,1973-01-19,100284.0,Jimmy Connors,USA
Louisville,1973-08-05,100174.0,Manuel Orantes,ESP
Roland Garros,1973-05-21,100119.0,Ilie Nastase,ROU
Paris Indoor,1973-10-29,100119.0,Ilie Nastase,ROU
Nottingham,1973-06-11,100231.0,Erik Van Dillen,USA
Salisbury,1973-02-18,100284.0,Jimmy Connors,USA
Tanglewood,1973-08-12,100115.0,Jaime Fillol,CHI
Newport,1973-07-09,100058.0,Roger Taylor,GBR
Masters,1973-12-04,100119.0,Ilie Nastase,ROU
Salisbury,1974-02-24,100284.0,Jimmy Connors,USA
Manila,1974-11-16,100148.0,Ismail El Shafei,EGY
Tuscon,1974-03-30,100087.0,John Newcombe,AUS
Miami WCT,1974-03-03,100055.0,Cliff Drysdale,RSA
Surbiton,1974-06-01,100178.0,Bob Giltinan,AUS
Johannesburg,1974-11-24,100284.0,Jimmy Connors,USA
Cedar Grove,1974-09-15,100119.0,Ilie Nastase,ROU
US Open,1974-08-28,100284.0,Jimmy Connors,USA
Dallas WCT,1974-05-08,100087.0,John Newcombe,AUS
Paramus,1974-03-03,100272.0,Sandy Mayer,USA
Bombay,1974-11-16,100135.0,Onny Parun,NZL
Charlotte,1974-04-15,100186.0,Jeff Borowiak,USA
Tokyo WCT,1974-04-14,100029.0,Rod Laver,AUS
Calgary,1974-03-17,100179.0,Karl Meiler,GER
Salt Lake City,1974-03-24,100284.0,Jimmy Connors,USA
Christchurch,1974-10-27,100255.0,Roscoe Tanner,USA
Oslo,1974-11-16,100186.0,Jeff Borowiak,USA
Merion,1974-08-25,100343.0,John Lloyd,GBR
Omaha,1974-01-27,100179.0,Karl Meiler,GER
Palm Desert WCT,1974-03-31,100029.0,Rod Laver,AUS
New Orleans WCT,1974-04-07,100087.0,John Newcombe,AUS
Richmond-WCT,1974-01-29,100119.0,Ilie Nastase,ROU
Munich WCT,1974-04-07,100067.0,Frew Mcmillan,RSA
Hampton,1974-03-10,100284.0,Jimmy Connors,USA
Jackson,1974-03-24,100272.0,Sandy Mayer,USA
Birmingham,1974-02-17,100284.0,Jimmy Connors,USA
St. Louis,1974-04-22,100126.0,Stan Smith,USA
Washington WCT,1974-03-17,100119.0,Ilie Nastase,ROU
Barcelona WCT,1974-03-03,100074.0,Arthur Ashe,USA
St. Petersburg WCT,1974-02-04,100087.0,John Newcombe,AUS
Orlando WCT,1974-04-08,100087.0,John Newcombe,AUS
Rotterdam,1974-03-25,100084.0,Tom Okker,NED
Philadelphia WCT,1974-01-21,100029.0,Rod Laver,AUS
Florence,1974-05-12,100214.0,Adriano Panatta,ITA
Bologna WCT,1974-02-17,100074.0,Arthur Ashe,USA
Gstaad,1974-07-14,100282.0,Guillermo Vilas,ARG
Bastad,1974-07-08,100437.0,Bjorn Borg,SWE
